"HolderAddress","Balance","PendingBalanceUpdate"
"0xe68ce994fe9c536267e8369c69c94d2d77777777","802,317.089402726843308561","No"
"0x07765a8fe17584edc2a7441c9442fb57a843a5f5","801,624.302624876586106343","No"
"0x58d69a07b8e8c2268dffec4155a91bd5115db7ad","800,000.680266389453263106","No"
"0x19b97ebf2229697732f25eb3053da17023812223","798,605.232270146739219932","No"
"0x01e4132529dc14c535bc0ae502b1a53650b8fa47","795,427.857089685342558739","No"
"0xea93d824735c0eb13779c441c108e59bb47a7e5a","794,304.505709081176469823","No"
"0x00999a63ca72220d120b408715e8f05381a78bac","790,828.394672502609452756","No"
"0x3819a2fc8615030bdb5784b64b32aa43dbc3e98b","764,051.692738752864795879","No"
"0x4f79b9bd9c9c64568d8828071393408f34df7471","754,036","No"
"0x590423639883e33c20b493d9c7ac1246412902da","753,673.596493037468973601","No"
"0x3c821bb57ea467d6a0fccce2c853c8c4117bca84","753,566.626366751772604511","No"
"0xdadc4c51ca20bf73e6df1a0aacc157e784e2c6f3","746,067.577047354310635909","No"
"0x962b5c5453e1fc65e55a713b5d06254aad018fb2","745,999.46489256715570783","No"
"0xf4e423ce220e4d9fedcfebcd755ff9d37dc244b2","732,814.947302986410202116","No"
"0x255f43351dc7bc1b2dc8288a26c7ec459df6f9c6","725,238.444508445984768005","No"
"0xf83abe15b70ee83b32dcf4ba8b9e00fd6307af99","723,407.404339796614694607","No"
"0x8b7a53c4ecca2343c05f4c57533017f8e5b12ac5","721,675.305910697883946139","No"
"0xef7971208aa5f48e3199f2a69f85a558d09fb222","717,911.285601146748312813","No"
"0xf65f38042f9bbdced19ccb11edba60fed691f935","712,835.928397643087132626","No"
"0x513cb622e4e9a69812b046e8c3d2e3051562d273","711,464.771265604959308811","No"
"0x713f90407fc49f0bc59a6661c23fb67692a80e6d","706,967.259498209060732266","No"
"0xcb27ac98b06a30c28ed757192a4894929b69e78d","706,893.276738534691588143","No"
"0x8112815743415e9435a1a4ad6dfe7f791f8c3e21","702,833.442476531680011138","No"
"0xe77d1d9f32edfef383b3bf081fd64f57eaf887e8","700,752.168947367824245811","No"
"0x580addd13453533202753fecae9c9f1a0e20000a","684,974.369506668721936661","No"
"0x0d5ce8e3cf68a437b3eff4f11314f106a6a2d767","680,742.262673384665655677","No"
"0x728e4a69083cd19e7f158ca3db2e52c54067c8da","673,373.34958288761657046","No"
"0x87bddc08871da3e3cb8665e4ff3be6a1906d0a9e","673,361.859779620865486278","No"
"0xb30fd217006dec410beb90e17ae9c598ccd3aba6","666,516.525940120927650753","No"
"0xaaaaffd420c10928c0a1fc2e3ff3afa9feb6b00b","652,895.821444367228178606","No"
"0xc8b0d32bc09fb11c12c82582825c1e6b624822b8","652,253.159226953171051047","No"
"0x8d067b54a1310ac962eb846363ae407de6588d74","650,790.320091679935663099","No"
"0x0c349d9b92fbd172bbb5a17a9db0a673a6a10ad3","649,935.337450420683610161","No"
"0x528c69160a9d8cfeaf0f4aaf65b84dc30220ee4f","649,112.472387625459077461","No"
"0xf0f83db2edf1fe74858bd43c55917450332e8345","640,134.4185011343064799","No"
"0x57e6f76ad1eb78ee8d0da94f5cfccd3000865f4e","637,779.108248331015947216","No"
"0xf534cbcd4b91cae5f764565488bd89acb0d013b2","637,030.388477974324901113","No"
"0x5c0414fc9d248836852917706809ce9fa46b4470","634,660.438463232514774826","No"
"0xd219081d4487bd7091cc4a3afe88a9825a4242a6","632,444.818836724881086216","No"
"0x669741dbfad138164060304e944d31d461559211","629,911.609549679609187511","No"
"0x7f5ab3a998729d2227d7e97fe17cef1265839d1e","624,898.081790826935887187","No"
"0x94007abf372d776c2211da7887b7a81a50186b0d","623,639.483707275144994448","No"
"0xeaaac41ce8c463e63fcb2829db0ca39be5183f75","619,011.644794133239918046","No"
"0x07427c476501e03b1802541625cefd1df24484d2","612,407.019179624910355621","No"
"0xfb61a40a5e7451df99d0707cb37650211ce4dcd4","608,396.412522692521207026","No"
"0xdf4ac386ed343d23a30c9718cef8afbc2ca0f84f","604,871.256076797128459471","No"
"0x7daf36b02586e7a30118e1648b36346194490b64","600,000","No"
"0xd4f5776bd67eabce009f1c258e8696fe3cf4044d","592,017.639623981182315477","No"
"0xc8011eca7d3864b9bfe3cc9fcbf4fedb51215b8e","585,792.517750735176638834","No"
